	3980,418,324,649
2489285	482,324
2489286	483,324
2489287	302,324,216
2489288	324,38
2489289	690,324
2489290	324,1205
2489291	1405,324
2489292	159,324
2489293	418,324
2489294	95,324
2489295	1224,238,324
2489296	418,324
2489297	418,324
2489298	1473,324,935
2489299	381,291,324
2489300	95,324
2489301	48,324
2489302	109,324
2489303	418,324
2489304	504,324,28,92,34
2489305	324,1408
2489306	238,324,418,1086
2489307	324,238,354,201,3709
2489308	2,324
2489309	324,473
2489310	1215,1224,324,209
2489311	63,324
2489312	1224,324
2489313	418,324
2489314	808,3435,324
2489315	170,1645,366,324
2489316	529,324,345,291,935
2489317	4,324
2489318	666,324
2489319	324,2787,418,3972,1838,2453
2489320	392,324
2489321	132,1200,324
2489322	324,354
2489323	11,324
2489324	324,222
2489325	324,142
2489326	324,75,141
2489327	1208,324,1483
2489328	324,439
2489329	324,394,426,175,593,1330,381,148
2489330	324,106
2489331	2228,324,1286,779
2489332	324,176
2489333	324,1337,418,222,1755,583
2489334	1940,324
2489335	206,324
2489336	651,324
2489337	363,324,1086
2489338	170,2628,324,1991
2489339	1804,324
2489340	448,175,324
2489341	324,6
2489342	2433,324,626,3608,3106
2489343	426,148,324,2421
2489344	381,324
2489345	324,111
2489346	1677,324
2489347	1677,2601,324
2489348	324,2133
2489349	2194,324,14
2489350	1208,324
2489351	324,58
2489352	418,324
2489353	324,2544
2489354	324,192
2489355	418,324
2489356	697,324
2489357	324,3163
2489358	324,69,543
2489359	324,2666
2489360	2,324,1127
2489361	324,38,580
2489362	621,324
2489363	324,41
2489364	418,324,222
2489365	324,68,876
2489366	2562,324
2489367	628,324,281,492
2489368	1531,324
2489369	451,324,36
2489370	605,324,763
2489371	324,1238,929
2489372	1170,324
2489373	4,324
2489374	324,501
2489375	210,134,324
2489376	324,210,677,487,1868
2489377	381,324
2489378	2594,324,1093
2489379	2,324
2489380	1755,418,324
2489381	324,1260
2489382	324,494
2489383	323,778,324,3259,1770,1679,2538,2436,222
2489384	381,324
2489385	324,1149
2489386	324,2195,1442,86,325,1755
2489387	324,926
2489388	600,324,779
2489389	1224,418,324
2489390	324,3163
2489391	1956,324
2489392	597,324,323,398
2489393	148,324
2489394	418,324
2489395	1046,324,75
2489396	302,324
2489397	7,151,546,324
2489398	324,161
2489399	418,324
2489400	324,103
2489401	324,153,681,6,479,1077,165
2489402	1315,324
2489403	324,630
2489404	1224,324
2489405	1483,1204,324
2489406	1957,324
2489407	324,630
2489408	1031,418,324
2489409	228,3935,324
2489410	849,324
2489411	381,324
2489412	324,103
2489413	324,68
2489414	3450,2473,324,910
2489415	324,1749
2489416	451,324
2489417	392,324
2489418	937,324
2489419	324,412,52,159,447,51
2489420	302,324,666,355
