56
3191515	56,538
3191516	56,728
3191517	56,728
3191518	56,177
3191519	56,95
3191520	194,56
3191521	56,216
3191522	56,728
3191523	56,1072
3191524	194,56
3191525	382,56
3191526	56,1609
3191527	56,128
3191528	56,177
3191529	56,1377
3191530	136,56,192
3191531	56,715
3191532	56,95
3191533	56,440,192
3191534	56,223,68
3191535	382,56,365
3191536	56,49
3191537	56,881
3191538	56,128
3191539	54,56
3191540	56,710,46
3191541	56,107,728
3191542	3500,56
3191543	56,1145
3191544	56,208
3191545	56,128
3191546	56,128
3191547	177,56,81
3191548	56,107,192
3191549	628,56
3191550	56,728
3191551	56,728
3191552	56,216,128
3191553	56,728
3191554	56,365
3191555	56,107
3191556	628,56
3191557	56,128
3191558	268,56
3191559	179,56
3191560	56,797
3191561	56,223
3191562	56,128
3191563	218,56
3191564	382,56
3191565	56,2164,216
3191566	1022,56
3191567	56,81
3191568	56,125
3191569	56,365
3191570	56,881
3191571	56,462
3191572	56,2013
3191573	56,125
3191574	56,107
3191575	4252,56
3191576	56,93
3191577	56,46
3191578	56,128
3191579	56,219
3191580	67,424
3191581	270,424
3191582	282,424
3191583	335,424
3191584	462,424
3191585	2070,424
3191586	170,424
3191587	443,424
3191588	192,424
3191589	67,424
3191590	2879,424
3191591	270,424
3191592	128,424
3191593	955,1086,424
3191594	710,424
3191595	849,424
3191596	575,424
3191597	101,424
3191598	270,1086,424
3191599	1086,424
3191600	556,424
3191601	424,1749
3191602	424,3100
3191603	270,424
3191604	538,112,424
3191605	1117,424
3191606	424,649
3191607	282,68,424
3191608	3299,424
3191609	1086,424
3191610	132,424
3191611	2839,145,424
3191612	666,424
3191613	177,424
3191614	424,493
3191615	3999,424
3191616	281,424
3191617	1086,424
3191618	853,661,424
3191619	424,1096
3191620	345,424
3191621	965,424
3191622	955,177,424
3191623	52,424
3191624	342,424
3191625	988,424
3191626	1454,424
3191627	175,424
3191628	2070,424
3191629	3659,424
3191630	1426,424
3191631	776,424
3191632	588,424
3191633	424,493
3191634	330,424
3191635	488,424
3191636	462,424
3191637	1208,424
3191638	270,424
3191639	1046,424
3191640	716,424
3191641	90,424
3191642	270,424
3191643	145,424
3191644	588,424
3191645	1000,955,424
3191646	424,1467
3191647	424,473
3191648	424,200
3191649	424,362
3191650	1131,1471,424
3191651	1086,424
3191652	1435,717,424
3191653	1086,424
3191654	424,164
3191655	424,2532
3191656	542,424
3191657	424,200
3191658	1046,424
3191659	1208,424
3191660	424,2820
3191661	2241,424
3191662	90,424
3191663	999,424
3191664	212,424
3191665	745,86,424
3191666	999,424
3191667	90,424
3191668	1809,424
3191669	366,424
3191670	76,424
3191671	2279,424
3191672	424,1770
3191673	1061,424
3191674	270,424
3191675	112,424
3191676	194,424
3191677	853,424
3191678	1131,346,424
3191679	488,424
3191680	54,424
3191681	2598,424
3191682	338,424
3191683	1145,424
3191684	270,424
3191685	1046,424
3191686	531,424
3191687	313,424
3191688	922,424
3191689	494,424
3191690	54,424
3191691	270,424
3191692	330,424
3191693	3529,424
3191694	1131,424
3191695	270,424
3191696	710,424
3191697	145,424
3191698	1266,424
3191699	218,365,858,424
3191700	1027,424
3191701	145,1689,424,1092
3191702	1086,424
3191703	3222,424
3191704	424,2172
3191705	2128,424
3191706	2084,219,424
3191707	418,424
3191708	2091,424
3191709	426,4003,424
3191710	1145,424
3191711	258,424
3191712	3299,424
3191713	76,424
3191714	1033,424
3191715	262,424
3191716	853,424
3191717	1783,424
3191718	710,424
3191719	710,424
3191720	2188,2942,424
3191721	424,473
3191722	381,1862,112,424
3191723	715,424
3191724	270,424,1467
3191725	922,424
3191726	2492,424
3191727	846,145,424
3191728	4369,424
3191729	488,424
3191730	338,424
3191731	366,424
3191732	54,424
3191733	955,424
3191734	107,424
3191735	1549,424
3191736	955,424
3191737	1117,424
3191738	424,240
3191739	381,424
3191740	1778,717,424
3191741	621,1189,424
3191742	270,424
3191743	826,424
3191744	766,424
3191745	426,424
3191746	440,424
3191747	2669,424
3191748	3000,424
3191749	194,424
3191750	1240,424
3191751	717,424
3191752	19,424
3191753	673,424
3191754	1086,424
3191755	1046,424
3191756	1649,424
3191757	645,101,93,424
3191758	424,473
3191759	1162,424,529
3191760	2183,424
3191761	54,424
3191762	54,424
3191763	23,424
3191764	666,424
3191765	3502,424
3191766	223,424
3191767	434,112,424
3191768	666,424
3191769	4511,424
3191770	2688,424
3191771	577,424
3191772	381,424
3191773	362,424,320
3191774	442,424
3191775	2688,424
3191776	1426,600
3191777	600,3163
3191778	418,600
3191779	600,1200
3191780	381,600
3191781	11,600
3191782	600,1627
3191783	600,714
3191784	529,600
3191785	840,600
3191786	529,600
3191787	600,714
3191788	223,600
3191789	1426,600
3191790	86,600,669
3191791	621,1473,494,600
3191792	2334,600
3191793	529,600
3191794	600,779
3191795	313,600,381
3191796	488,600
3191797	600,216
3191798	345,600
3191799	529,418,600
3191800	11,600
3191801	175,600
3191802	600,86
3191803	600,216
3191804	849,600
3191805	426,418,600,86
3191806	1932,600
3191807	600,1200
3191808	600,1641
3191809	840,600
3191810	600,86
3191811	175,714,600
3191812	381,600
3191813	600,19,240
3191814	600,2078
3191815	1609,600
3191816	600,531
3191817	600,86
3191818	1904,600
3191819	529,600
3191820	360,175,714,600
3191821	90,600
3191822	600,779
3191823	381,418,600,669
3191824	600,1200
3191825	175,600
3191826	381,600
3191827	381,600
3191828	621,600,1200
3191829	621,175,600,86
3191830	666,600
3191831	600,461
3191832	1426,600
3191833	600,1872
3191834	381,600
3191835	426,600
3191836	11,175,600,935
3191837	1208,600,68
3191838	80,1027,600
3191839	600,155,409
3191840	849,600
3191841	3500,600
3191842	3224,600
3191843	529,600
3191844	381,600
3191845	600,493
3191846	1846,600
3191847	175,600
3191848	11,600
3191849	418,345,1473,600
3191850	84,600
3191851	1426,600
3191852	1817,600
3191853	418,600
3191854	600,1201
3191855	418,600
3191856	600,1167,627
3191857	381,600
3191858	84,600
3191859	529,600
